GeneID	Reads
FBgn0044419	336
FBgn0016641	847
FBgn0085289	0
FBgn0010501	614
FBgn0034498	929
FBgn0029965	0
FBgn0029966	0
FBgn0029961	0
FBgn0029962	0
FBgn0029963	2
FBgn0029968	0
FBgn0029969	806
FBgn0027528	8
FBgn0027529	906
FBgn0027526	1314
FBgn0027527	0
FBgn0027524	436
FBgn0027525	2069
FBgn0039697	5052
FBgn0027521	23
FBgn0034379	175
FBgn0034378	729
FBgn0034372	2049
FBgn0034371	2640
FBgn0034377	22
FBgn0034376	444
FBgn0034374	4
FBgn0039102	0
FBgn0036271	699
FBgn0037489	718
FBgn0051618	0
FBgn0037578	411
FBgn0030259	0
FBgn0030254	0
FBgn0065055	6
FBgn0030704	263
FBgn0030257	0
FBgn0030702	2580
FBgn0030251	3
FBgn0030700	229
FBgn0030701	3051
FBgn0033471	872
FBgn0036150	10
FBgn0085256	0
FBgn0036152	79
FBgn0036155	173
FBgn0036626	0
FBgn0033477	3323
FBgn0036624	487
FBgn0033479	252
FBgn0033478	69
FBgn0036629	130
FBgn0036628	3
FBgn0085259	0
FBgn0038851	12
FBgn0015519	0
FBgn0015040	36
FBgn0040717	0
FBgn0040715	10
FBgn0015513	2083
FBgn0038282	0
FBgn0038281	0
FBgn0038280	0
FBgn0038286	1581
FBgn0038285	1
FBgn0026433	283
FBgn0026432	718
FBgn0026431	544
FBgn0026430	1213
FBgn0030338	2
FBgn0050369	0
FBgn0050362	0
FBgn0050363	0
FBgn0050360	0
FBgn0050361	6
FBgn0050366	2
FBgn0050364	2
FBgn0050365	0
FBgn0013263	2208
FBgn0058188	0
FBgn0058189	0
FBgn0058182	0
FBgn0058181	0
FBgn0051949	0
FBgn0051948	0
FBgn0051419	0
FBgn0051418	0
STRG.5799	20
FBgn0051413	0
FBgn0051940	0
FBgn0051943	0
FBgn0051410	0
FBgn0051416	0
FBgn0051415	0
FBgn0051946	0
FBgn0037398	0
FBgn0037399	0
FBgn0030870	0
FBgn0030871	2069
FBgn0030872	450
FBgn0030873	2822
